1,-16.5,-3,95,0,-22,-5.5,5,0,0,0,0,,1
2,-20.25,-4.5,95,0,14,-2,90,0,0,0,0,,1
3,13,-3,65,0,1,-3.75,5,0,0,0,0,,1
4,5.75,-4,70,0,-1.5,-5.25,95,0,0,0,0,,1
5,-17,-5,65,0,2,-6.75,60,0,0,0,0,,1
6,3.75,-0.5,170,0,-11,-4,110,0,0,0,0,,1
7,-21,-6,160,0,-5.75,-4.25,20,0,0,0,0,,1
8,-25,-3.25,70,0,11,0,80,0,0,0,1,,1
9,-22.5,-1,135,0,-13,-5.5,180,0,0,1,0,,1
10,-7.5,-6.25,170,0,3.25,-4.75,70,0,0,0,0,,1
11,6.25,-1.25,50,0.75,6.25,-1,135,0,2,0,0,,1
12,-18.25,-6.5,25,0,-11,-6,80,0,0,1,0,,1
13,-16,-7,180,0,-10,-4.75,125,0,0,0,1,,1
14,-11.75,-5,15,0,6.5,-1.25,110,0,0,0,0,,1
15,-15.25,-5.5,135,0,10.25,-7,70,0,0,0,0,,1
16,-13,-5.25,180,0,-11,-1.25,5,0,0,0,0,,1
17,-12,-1,5,0,-19,-0.5,145,0,0,0,1,,1
18,6.75,-5,55,0,-1.5,-2,105,0,0,0,0,,1
19,-4.5,-6.25,90,0,8.5,-4.75,100,0,0,0,0,,1
20,-9,-1.25,140,0,13.5,0,140,3.5,3,0,0,,1
21,13.25,-2.5,145,0,4,-1,145,0,0,0,0,,1
22,2,-3,80,0,12.25,-4,110,0,0,0,0,,1
23,-10.25,-6,15,0,13,-6.25,95,0,0,0,0,,1
24,-9.25,-2,115,0,5,-2,130,0,0,0,0,,1
25,-22.25,-2.5,60,0,4.5,-6.75,170,0,0,0,1,,1
26,10,-6,80,0,7.5,-2,170,0,0,0,0,,1
27,14.5,-1.25,10,0,-23.25,-5.25,115,0,0,0,0,,1
28,11.75,-4,165,0,-21.75,-0.5,180,0,0,0,0,,1
29,-4,-5.5,155,0,-24,-4.25,180,0,0,0,0,,1
30,-11.75,-3,130,0,-0.25,-3,5,3.25,2,0,0,,1
31,12.5,-5.25,65,0,11.25,-5.5,180,0,0,0,0,,1
32,-10,-2.25,10,0,-12.5,-0.25,45,0,0,0,0,,1
33,-10,-3,160,0,-16,-2.25,5,0,0,0,0,,1
34,-0.75,-6.5,85,0,2,-5.25,100,0,0,1,0,,1
35,-2.5,-1,145,0,-19.75,-6,140,0,0,0,0,,1
36,7.25,-4.5,100,0,-22,-1.25,15,0,0,0,0,,1
37,14.5,-5.25,120,0,6.25,-3,50,0,0,0,0,,1
38,9.5,-4.75,20,0,6,-5.5,45,3.5,2,0,0,,1
39,8.75,-0.75,90,0,-9.5,-0.5,110,1.5,3,0,0,,1
40,-17.25,-6.25,90,0,12,-2.5,40,0,0,1,0,,1
41,-20,-2.5,135,0,5.25,-1.5,145,0,0,0,0,,1
42,-14.75,-2.5,40,0,9,-1.25,120,0,0,0,0,,1
43,12.75,-1.25,130,0,-21.5,-4.5,75,0,0,0,0,,1
44,-21,-5,145,0,8.5,-2.5,20,0,0,0,0,,1
45,-1.25,-1.5,115,0,-24.75,-3.5,95,0,0,0,0,,1
46,8,-3,15,0,-12.75,-4,160,0,0,0,0,,1
47,14,-4.25,120,0,-21.75,-0.25,170,0,0,0,0,,1
48,-11.25,-1.25,55,0,1,-3.5,30,0,0,0,0,,1
49,12,-2,125,0,-3.5,-3,45,0,0,0,0,,1
50,-23.25,-0.75,145,0,-17.75,-3.25,40,0,0,1,0,,1
51,-4,-6.5,180,0,-22.75,-3.75,95,0,0,0,0,,1
52,-18,-1.75,150,0,-16,-0.25,155,0,0,0,0,,1
53,-15.25,-5,110,0,5.5,-2.5,110,0,0,0,0,,1
54,-10.75,-2,65,0,3,-3.5,70,0,0,0,0,,1
